id,title,year,venue,type,primary_url,insight_score,completeness_score,numeric_evidence_score,triage,direct_pressure
1,"Infrared Small Target Detection with Scale and Location Sensitivity",2024,CVPR,IRSTD baseline,https://openaccess.thecvf.com/content/CVPR2024/html/Liu_Infrared_Small_Target_Detection_with_Scale_and_Location_Sensitivity_CVPR_2024_paper.html,5,5,5,A,"Occupies multi-scale heads and scale/location-sensitive supervision"
2,"ISNet: Shape Matters for Infrared Small Target Detection",2022,CVPR,IRSTD shape model,https://openaccess.thecvf.com/content/CVPR2022/html/Zhang_ISNet_Shape_Matters_for_Infrared_Small_Target_Detection_CVPR_2022_paper.html,4,5,5,A,"Occupies task-specific edge and orientation aggregation"
3,"Miss Detection vs. False Alarm: Adversarial Learning for Small Object Segmentation in Infrared Images",2019,ICCV,IRSTD objective,https://openaccess.thecvf.com/content_ICCV_2019/html/Wang_Miss_Detection_vs._False_Alarm_Adversarial_Learning_for_Small_Object_ICCV_2019_paper.html,4,4,4,A,"Occupies explicit miss-versus-false-alarm learning"
4,"Point-to-Mask: From Arbitrary Point Annotations to Mask-Level Infrared Small Target Detection",2026,arXiv,center/radius reformulation,https://arxiv.org/abs/2603.16257,4,3,3,Risk,"Occupies root/center plus radius and mask recovery"
5,"Rethinking IRSTD: Single-Point Supervision Guided Encoder-only Framework is Enough for Infrared Small Target Detection",2026,arXiv,centroid response reformulation,https://arxiv.org/abs/2604.05363,5,3,3,Risk,"Occupies centroid regression and probabilistic response encoding"
6,"DISTA-Net: Dynamic Closely-Spaced Infrared Small Target Unmixing",2025,ICCV,closely-spaced IRSTD,https://openaccess.thecvf.com/content/ICCV2025/html/Han_DISTA-Net_Dynamic_Closely-Spaced_Infrared_Small_Target_Unmixing_ICCV_2025_paper.html,4,4,4,B,"Pressure on multi-target separation claims"
7,"Per-Pixel Classification Is Not All You Need for Semantic Segmentation",2021,NeurIPS,mask classification,https://proceedings.neurips.cc/paper/2021/hash/950a4152c2b4aa3ad78bdd6b366cc179-Abstract.html,5,5,5,Risk,"Occupies mask-valued prediction with a global label"
8,"Masked-Attention Mask Transformer for Universal Image Segmentation",2022,CVPR,mask classification,https://openaccess.thecvf.com/content/CVPR2022/html/Cheng_Masked-Attention_Mask_Transformer_for_Universal_Image_Segmentation_CVPR_2022_paper.html,4,5,5,Risk,"Occupies query masks and masked multi-scale attention"
9,"High-Precision Automated Reconstruction of Neurons with Flood-Filling Networks",2018,Nature Methods,seeded recurrent growth,https://www.nature.com/articles/s41592-018-0049-4,5,5,5,Risk,"Occupies seeded iterative single-object extension"
10,"Deep Watershed Transform for Instance Segmentation",2017,CVPR,energy-to-component representation,https://openaccess.thecvf.com/content_cvpr_2017/html/Bai_Deep_Watershed_Transform_CVPR_2017_paper.html,5,4,5,Risk,"Occupies learned energy basins and component cuts"
11,"End-to-End Instance Segmentation With Recurrent Attention",2017,CVPR,sequential instance segmentation,https://openaccess.thecvf.com/content_cvpr_2017/html/Ren_End-To-End_Instance_Segmentation_CVPR_2017_paper.html,4,4,4,Risk,"Occupies recurrent ordered instance masks"
12,"Annotating Object Instances With a Polygon-RNN",2017,CVPR,structured sequential support,https://openaccess.thecvf.com/content_cvpr_2017/html/Castrejon_Annotating_Object_Instances_CVPR_2017_paper.html,4,4,4,Risk,"Occupies sequential non-pixel object support representation"
13,"Topograph: An Efficient Graph-Based Framework for Strictly Topology Preserving Image Segmentation",2025,ICLR,topology graph/loss,https://openreview.net/forum?id=Q0zmmNNePz,5,5,4,Risk,"Occupies component graphs and strict topology guarantees"
14,"Region Growing Convolutional Neural Network for Interactive Delineation",2020,arXiv,learned region growth,https://arxiv.org/abs/2009.11717,4,3,3,Risk,"Occupies mask-conditioned frontier/direction growth"
